Body Size_Large,Body Size_Medium,Body Size_Slim,Body Weight_Heavy - difficulties in losing weight,Body Weight_Low - difficulties in gaining weight,Body Weight_Moderate - no difficulties in gaining or losing weight,Height_Average,Height_Short,Height_Tall,"Bone Structure_Large, broad shoulders , heavy bone structure","Bone Structure_Light, Small bones, prominent joints",Bone Structure_Medium bone structure,"Complexion_Dark-Complexion, tans easily",Complexion_Fair-skin sunburns easily,"Complexion_White, pale, tans easily","General feel of skin_Dry and thin, cool to touch, rough","General feel of skin_Smooth and warm, oily T-zone","General feel of skin_Thick and moist/greasy, cold","Texture of Skin_Dry, pigments and aging","Texture of Skin_Freckles, many moles, redness and rashes",Texture of Skin_Oily,"Hair Color_Black/Brown,dull",Hair Color_Brown,"Hair Color_Red, light brown, yellow","Appearance of Hair_Dry, black, knotted, brittle","Appearance of Hair_Straight, oily","Appearance of Hair_Thick, curly","Shape of face_Heart-shaped, pointed chin","Shape of face_Large, round, full","Shape of face_Long, angular, thin","Eyes_Big, round, beautiful, glowing eyes","Eyes_Medium-sized, penetrating, light-sensitive eyes","Eyes_Small, active, darting, dark eyes",Eyelashes_Moderate eyelashes,Eyelashes_Scanty eyelashes,Eyelashes_Thick/Fused eyelashes,Blinking of Eyes_Excessive Blinking,Blinking of Eyes_Moderate Blinking,Blinking of Eyes_More or less stable,"Cheeks_Rounded, Plump","Cheeks_Smooth, Flat","Cheeks_Wrinkled, Sunken","Nose_Crooked, Narrow","Nose_Pointed, Average","Nose_Rounded, Large open nostrils","Teeth and gums_Big, White, Strong teeth, Healthy gums","Teeth and gums_Irregular, Protruding teeth, Receding gums","Teeth and gums_Medium-sized teeth, Reddish gums","Lips_Lips are large, soft, pink, and full","Lips_Lips are soft, medium-sized","Lips_Tight, thin, dry lips which chaps easily","Nails_Dry, Rough, Brittle, Break","Nails_Sharp, Flexible, Pink, Lustrous","Nails_Thick, Oily, Smooth, Polished","Appetite_Irregular, Scanty",Appetite_Slow but steady,"Appetite_Strong, Unbearable",Liking tastes_Pungent / Bitter / Astringent,Liking tastes_Sweet / Bitter / Astringent,Liking tastes_Sweet / Sour / Salty,Predicted_Dosha
0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,
0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,
0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,
1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,
0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,
1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,kapha
1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,
1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,
0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,
0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,
