feature,importance_mean,importance_std
Nails,0.02958333333333334,0.005086064839889026
Teeth and gums,0.02416666666666669,0.004487637339278737
Appetite,0.017500000000000026,0.004082482904638654
Eyelashes,0.015833333333333355,0.007406828681096337
Body Weight,0.010833333333333328,0.005651941652604405
Lips,0.00791666666666665,0.004732423621500232
Height,0.0029166666666666564,0.003749999999999987
Metabolism Type,0.0,0.0
Liking tastes,0.0,0.0
Body Size,0.0,0.0
Climate Preference,0.0,0.0
Sleep Patterns,0.0,0.0
Dietary Habits,0.0,0.0
Physical Activity Level,0.0,0.0
Water Intake,0.0,0.0
Digestion Quality,0.0,0.0
Stress Levels,0.0,0.0
Nose,0.0,0.0
Cheeks,0.0,0.0
Blinking of Eyes,0.0,0.0
Eyes,0.0,0.0
Shape of face,0.0,0.0
Appearance of Hair,0.0,0.0
Hair Color,0.0,0.0
Texture of Skin,0.0,0.0
General feel of skin,0.0,0.0
Complexion,0.0,0.0
Bone Structure,0.0,0.0
Skin Sensitivity,0.0,0.0
